DateTime,Appliances,lights,T1,RH_1,T2,RH_2
2016-01-11 18:20:00,nan,40,19.79,nan,19.2,44.433333333333294
2016-01-11 18:30:00,70,40,19.8566666666667,46.09,nan,44.4
2016-01-11 18:40:00,nan,70,19.9266666666667,45.863333333333294,19.3566666666667,nan
2016-01-11 18:50:00,580,60,20.066666666666695,46.3966666666667,19.4266666666667,nan
2016-01-11 19:00:00,430,nan,20.1333333333333,nan,19.566666666666695,nan
2016-01-11 19:10:00,250,40,20.26,52.7266666666667,19.73,45.1
2016-01-11 19:20:00,100,10,20.4266666666667,55.893333333333295,19.8566666666667,nan
2016-01-11 19:30:00,100,nan,20.566666666666695,53.893333333333295,20.033333333333296,46.7566666666667
2016-01-11 19:40:00,nan,10,20.73,52.66,20.1666666666667,47.223333333333294
2016-01-11 19:50:00,70,30,nan,53.66,20.2,47.05666666666671
2016-01-11 20:00:00,80,30,20.89,nan,20.2,nan
2016-01-11 20:10:00,nan,nan,20.89,49.8,20.2,46.0266666666667
2016-01-11 20:20:00,120,20,20.89,48.433333333333294,20.2,45.7225
2016-01-11 20:30:00,190,40,20.963333333333296,47.6333333333333,20.26,45.53
2016-01-11 20:40:00,110,40,21.033333333333296,nan,20.29,nan
2016-01-11 20:50:00,110,40,21.1,46.59666666666671,nan,44.963333333333296
2016-01-11 21:00:00,110,nan,nan,46.06,20.4266666666667,44.76
2016-01-11 21:10:00,110,20,21.2,nan,20.5,nan
2016-01-11 21:20:00,100,30,21.29,nan,nan,45.09
2016-01-11 21:30:00,100,20,21.3566666666667,45.8266666666667,nan,nan
2016-01-11 21:40:00,100,20,21.39,nan,20.7,45.06
2016-01-11 21:50:00,100,20,21.5,45.33333333333329,20.7,44.933333333333294
2016-01-11 22:00:00,nan,20,21.5,45.1266666666667,20.79,nan
2016-01-11 22:10:00,400,nan,nan,44.9666666666667,20.79,44.36
2016-01-11 22:20:00,400,20,21.6,44.7666666666667,20.89,44.223333333333294
2016-01-11 22:30:00,nan,30,nan,44.56,20.963333333333296,nan
2016-01-11 22:40:00,240,20,21.6,44.36,nan,43.83333333333329
2016-01-11 22:50:00,60,20,nan,44.2,21.0,43.7
2016-01-11 23:00:00,nan,20,21.6,44.2,21.0,43.59
2016-01-11 23:10:00,60,nan,21.6,44.2,21.0,43.59
2016-01-11 23:20:00,50,10,21.6,44.2,21.0,43.7
2016-01-11 23:30:00,70,20,21.5,nan,nan,43.76
2016-01-11 23:40:00,nan,20,21.5,44.363333333333294,nan,43.845
2016-01-11 23:50:00,40,20,21.39,nan,20.79,43.79
2016-01-12 00:00:00,nan,10,nan,44.56,20.79,43.863333333333294
2016-01-12 00:10:00,30,20,21.29,44.8266666666667,20.7,nan
2016-01-12 00:20:00,40,20,21.29,44.9666666666667,nan,44.0
2016-01-12 00:30:00,50,20,21.26,45.09,20.6,nan
2016-01-12 00:40:00,nan,10,nan,45.09,20.6,44.09
2016-01-12 00:50:00,380,20,21.1666666666667,nan,20.5,nan
2016-01-12 01:00:00,380,20,nan,45.3725,20.5,44.2
2016-01-12 01:10:00,370,20,nan,nan,nan,44.2
2016-01-12 01:20:00,120,10,21.0,45.59,20.39,44.26
2016-01-12 01:30:00,50,0,20.9266666666667,nan,20.29,nan
2016-01-12 01:40:00,40,0,20.89,nan,20.23,44.29
2016-01-12 01:50:00,50,0,20.89,46.06,20.2,44.4
2016-01-12 02:00:00,40,0,20.79,46.2,20.2,44.4666666666667
2016-01-12 02:10:00,50,0,20.79,46.2,20.1,44.53
2016-01-12 02:20:00,nan,0,20.7,46.26,nan,44.59
2016-01-12 02:30:00,50,0,20.7,46.2,nan,44.433333333333294
2016-01-12 02:40:00,40,0,20.6,46.2,nan,nan
2016-01-12 02:50:00,nan,nan,nan,nan,nan,44.5
2016-01-12 03:00:00,30,0,20.566666666666695,46.0666666666667,19.89,44.59
2016-01-12 03:10:00,20,nan,nan,46.2,19.823333333333295,44.53
2016-01-12 03:20:00,nan,0,20.5,nan,nan,44.53
2016-01-12 03:30:00,40,0,nan,46.23,19.79,44.53
2016-01-12 03:40:00,nan,0,20.39,46.29,nan,44.59
2016-01-12 03:50:00,nan,nan,20.39,46.363333333333294,19.7,44.59
2016-01-12 04:00:00,40,0,20.29,46.5,nan,44.7
2016-01-12 04:10:00,50,0,20.29,46.545,19.6333333333333,44.6266666666667
2016-01-12 04:20:00,40,0,20.23,46.5,19.6,44.59
2016-01-12 04:30:00,nan,0,20.2,46.433333333333294,19.6,44.59
2016-01-12 04:40:00,40,0,nan,46.56,19.566666666666695,44.7
2016-01-12 04:50:00,60,0,20.1666666666667,46.363333333333294,19.5,44.7
2016-01-12 05:00:00,50,nan,20.1,nan,19.5,44.79
2016-01-12 05:10:00,50,nan,nan,46.5,19.4266666666667,44.73
2016-01-12 05:20:00,40,nan,20.033333333333296,46.36,19.39,44.73
2016-01-12 05:30:00,40,0,nan,46.29,nan,nan
2016-01-12 05:40:00,40,0,20.0,46.29,nan,nan
2016-01-12 05:50:00,40,0,nan,46.23,nan,44.79
2016-01-12 06:00:00,50,0,19.9266666666667,46.23,19.29,44.9
2016-01-12 06:10:00,70,10,19.89,46.23,19.29,44.925
2016-01-12 06:20:00,nan,nan,19.89,46.43,19.29,nan
2016-01-12 06:30:00,30,0,19.89,46.6266666666667,19.29,45.1266666666667
2016-01-12 06:40:00,20,nan,nan,nan,19.218,45.2
2016-01-12 06:50:00,30,nan,19.89,46.863333333333294,nan,45.245
2016-01-12 07:00:00,nan,nan,19.823333333333295,46.863333333333294,19.2,45.363333333333294
2016-01-12 07:10:00,50,10,19.8566666666667,46.93,nan,45.4
2016-01-12 07:20:00,60,20,nan,nan,nan,45.3266666666667
2016-01-12 07:30:00,60,20,19.79,46.895,19.175,45.195
2016-01-12 07:40:00,70,20,nan,47.4266666666667,19.1,45.03
2016-01-12 07:50:00,60,30,19.79,nan,nan,45.0
2016-01-12 08:00:00,140,20,19.79,48.66666666666671,19.1,45.0
2016-01-12 08:10:00,110,30,19.79,48.533333333333296,19.066666666666695,45.06
2016-01-12 08:20:00,90,10,nan,50.0,19.0222222222222,45.0444444444444
2016-01-12 08:30:00,60,0,19.89,nan,19.1,45.2
2016-01-12 08:40:00,60,0,19.89,nan,19.033333333333296,45.1266666666667
2016-01-12 08:50:00,nan,0,19.89,47.6333333333333,nan,45.09
2016-01-12 09:00:00,50,0,19.8566666666667,nan,19.0,45.03
2016-01-12 09:10:00,60,0,19.79,nan,19.0,44.9666666666667
2016-01-12 09:20:00,50,0,19.79,46.33333333333329,19.0,nan
2016-01-12 09:30:00,30,0,19.79,nan,19.0,nan
2016-01-12 09:40:00,nan,0,19.76,nan,18.963333333333296,nan
2016-01-12 09:50:00,30,nan,nan,45.79,18.963333333333296,44.433333333333294
2016-01-12 10:00:00,nan,0,19.7,45.6633333333333,18.89,44.29
2016-01-12 10:10:00,500,0,nan,45.59,18.89,nan
2016-01-12 10:20:00,450,0,19.73,nan,18.9266666666667,44.23
2016-01-12 10:30:00,50,10,nan,nan,19.0,44.363333333333294
2016-01-12 10:40:00,nan,nan,19.89,47.94,19.033333333333296,44.5666666666667
2016-01-12 10:50:00,60,0,nan,nan,19.033333333333296,44.5666666666667
2016-01-12 11:00:00,50,0,19.89,46.7666666666667,19.033333333333296,nan
2016-01-12 11:10:00,50,0,20.0,46.2966666666667,19.1,44.5
2016-01-12 11:20:00,50,0,20.0,45.963333333333296,19.1,nan
2016-01-12 11:30:00,60,0,nan,46.223333333333294,19.1,44.4
2016-01-12 11:40:00,60,0,20.0,45.963333333333296,19.1,44.29
2016-01-12 11:50:00,60,0,20.0,45.723333333333294,19.15,44.245
2016-01-12 12:00:00,60,0,20.0,45.6633333333333,19.2,44.2
2016-01-12 12:10:00,190,0,nan,45.5,19.2,nan
2016-01-12 12:20:00,220,nan,nan,45.69333333333329,19.2,43.9
2016-01-12 12:30:00,170,0,20.1,45.4,19.2,43.9
2016-01-12 12:40:00,nan,nan,20.1,45.3266666666667,nan,43.856
2016-01-12 12:50:00,nan,0,20.1,nan,19.2,43.7
2016-01-12 13:00:00,60,0,20.1666666666667,46.9933333333333,19.2,43.76
2016-01-12 13:10:00,290,0,20.1,46.43,19.1,43.8175
2016-01-12 13:20:00,nan,nan,nan,46.03,19.1,43.838125
2016-01-12 13:30:00,140,0,20.066666666666695,45.363333333333294,19.1,nan
2016-01-12 13:40:00,240,0,20.0,44.963333333333296,19.1,nan
2016-01-12 13:50:00,nan,0,20.0,44.76,19.1,43.488888888888894
2016-01-12 14:00:00,60,nan,nan,44.595,19.1,43.425
2016-01-12 14:10:00,60,0,20.0,44.433333333333294,19.1,43.334
2016-01-12 14:20:00,60,0,20.0,nan,19.1,nan
2016-01-12 14:30:00,nan,0,20.0,44.2,nan,43.29
2016-01-12 14:40:00,nan,0,nan,44.06,nan,43.23
2016-01-12 14:50:00,70,0,20.0,44.06,19.0,nan
2016-01-12 15:00:00,50,0,20.0,44.09,19.0,43.1266666666667
2016-01-12 15:10:00,40,0,20.0,44.03,19.0,43.09
2016-01-12 15:20:00,40,0,19.963333333333296,43.9,18.9266666666667,43.09
2016-01-12 15:30:00,30,0,19.963333333333296,43.9,nan,nan
2016-01-12 15:40:00,30,0,20.0,43.863333333333294,nan,nan
2016-01-12 15:50:00,30,0,20.066666666666695,nan,19.1333333333333,42.863333333333294
2016-01-12 16:00:00,30,0,20.1,nan,19.2,42.715
2016-01-12 16:10:00,40,0,20.1,43.73,19.1363636363636,42.65
2016-01-12 16:20:00,50,0,20.1,nan,19.13,nan
2016-01-12 16:30:00,40,nan,nan,43.433333333333294,19.1,42.59
2016-01-12 16:40:00,40,0,20.1,43.1633333333333,19.0375,42.53375
2016-01-12 16:50:00,40,0,20.1,43.03,nan,42.43
2016-01-12 17:00:00,60,nan,20.066666666666695,nan,nan,nan
2016-01-12 17:10:00,60,10,20.0,42.6725,19.0,42.433333333333294
2016-01-12 17:20:00,210,20,20.0,42.53,18.99,42.4718181818182
2016-01-12 17:30:00,380,20,20.033333333333296,43.4966666666667,18.9022222222222,nan
2016-01-12 17:40:00,nan,40,20.033333333333296,nan,18.89,42.56
2016-01-12 17:50:00,230,30,20.0,43.16,18.89,42.7966666666667
2016-01-12 18:00:00,80,40,20.0,43.9,nan,43.4
2016-01-12 18:10:00,90,30,20.0,43.7,18.8566666666667,43.4666666666667
2016-01-12 18:20:00,70,20,20.0,43.76,nan,43.363333333333294
2016-01-12 18:30:00,40,10,20.033333333333296,44.0,19.0,43.29
2016-01-12 18:40:00,40,0,20.1,nan,19.2,43.29
2016-01-12 18:50:00,30,0,nan,44.2,nan,43.245
2016-01-12 19:00:00,50,0,20.1,nan,19.29,43.095
2016-01-12 19:10:00,50,0,20.1,nan,19.37,42.92
2016-01-12 19:20:00,60,0,20.1,44.0,19.39,nan
2016-01-12 19:30:00,50,nan,20.1,nan,19.39,42.76
2016-01-12 19:40:00,60,0,20.1,43.8266666666667,nan,42.7
2016-01-12 19:50:00,60,nan,20.033333333333296,43.73,nan,42.6633333333333
2016-01-12 20:00:00,nan,0,20.1,43.73,19.39,42.53
2016-01-12 20:10:00,50,0,nan,43.49,19.3566666666667,42.5
2016-01-12 20:20:00,50,0,20.0,43.29,19.29,42.433333333333294
2016-01-12 20:30:00,50,0,20.0,43.145,19.29,42.45
2016-01-12 20:40:00,nan,nan,20.0,nan,19.26,42.4666666666667
2016-01-12 20:50:00,nan,0,19.9266666666667,43.0,nan,42.4
2016-01-12 21:00:00,60,nan,19.89,42.863333333333294,19.2,42.3266666666667
2016-01-12 21:10:00,60,0,nan,42.79,19.2,42.3266666666667
2016-01-12 21:20:00,nan,0,19.89,nan,19.1,42.363333333333294
2016-01-12 21:30:00,30,0,19.823333333333295,42.6266666666667,19.1,42.29
2016-01-12 21:40:00,30,20,19.79,42.59,19.0444444444444,42.24
2016-01-12 21:50:00,30,10,nan,42.723333333333294,19.0,42.0563636363636
2016-01-12 22:00:00,40,0,19.76,42.76,19.0,nan
2016-01-12 22:10:00,50,10,19.7,nan,19.0,41.988333333333294
2016-01-12 22:20:00,50,0,19.7,42.7,19.0,42.064285714285695
2016-01-12 22:30:00,50,0,19.6333333333333,42.6266666666667,18.910625,42.2525
2016-01-12 22:40:00,40,0,19.6666666666667,43.0,18.89,42.410625
2016-01-12 22:50:00,50,0,19.6,43.0,18.89,nan
2016-01-12 23:00:00,40,0,19.6,43.0,18.89,42.645
2016-01-12 23:10:00,40,nan,19.533333333333296,43.0,18.8081818181818,42.7
2016-01-12 23:20:00,40,0,19.5,43.09,18.79,42.75625
2016-01-12 23:30:00,40,nan,19.5,43.09,18.79,42.86166666666671
2016-01-12 23:40:00,50,0,19.5,nan,nan,43.0
2016-01-12 23:50:00,50,0,19.5,43.2,18.775,43.045
2016-01-13 00:00:00,50,0,19.4266666666667,43.2,18.7,43.09
2016-01-13 00:10:00,30,0,nan,43.2,18.7,43.2
2016-01-13 00:20:00,20,0,19.39,43.26,18.7,43.26
2016-01-13 00:30:00,30,0,nan,43.29,18.690909090909095,43.31
2016-01-13 00:40:00,20,0,19.39,43.363333333333294,18.6777777777778,43.3977777777778
2016-01-13 00:50:00,40,0,nan,43.4,18.6428571428571,nan
2016-01-13 01:00:00,50,0,nan,43.4666666666667,nan,43.46
2016-01-13 01:10:00,60,0,19.29,43.5,18.6,43.5
2016-01-13 01:20:00,nan,0,19.29,43.56,18.6,nan
2016-01-13 01:30:00,40,nan,19.29,nan,nan,43.59
2016-01-13 01:40:00,40,0,19.29,nan,18.5,nan
2016-01-13 01:50:00,50,nan,19.29,43.7,18.5,43.635833333333295
2016-01-13 02:00:00,40,0,19.29,43.76,18.5,43.68625
2016-01-13 02:10:00,40,0,19.2,43.7,18.5,43.7
2016-01-13 02:20:00,50,0,nan,43.76,18.5,43.775
2016-01-13 02:30:00,50,0,19.2,43.79,18.5,43.845
2016-01-13 02:40:00,nan,0,19.2,nan,18.5,43.9
2016-01-13 02:50:00,40,0,19.2,43.9,18.4830769230769,43.8619230769231
2016-01-13 03:00:00,30,nan,19.1,43.933333333333294,18.4938888888889,nan
2016-01-13 03:10:00,20,0,19.1,nan,18.4205555555556,43.808333333333294
2016-01-13 03:20:00,20,0,19.1,44.0,18.3961111111111,43.7961111111111
2016-01-13 03:30:00,20,nan,nan,44.0,18.39,43.79
2016-01-13 03:40:00,50,nan,19.1,nan,18.39,43.79
2016-01-13 03:50:00,50,nan,19.1,44.09,18.3718181818182,43.84
2016-01-13 04:00:00,nan,nan,19.033333333333296,44.03,nan,43.9
2016-01-13 04:10:00,nan,0,19.033333333333296,44.09,18.3429411764706,43.9
2016-01-13 04:20:00,40,0,19.0,44.09,18.34,43.91666666666671
2016-01-13 04:30:00,50,0,nan,nan,18.29,43.9055555555556
2016-01-13 04:40:00,40,nan,19.0,44.09,18.29,43.9
2016-01-13 04:50:00,50,0,19.0,44.1633333333333,18.29,43.9388888888889
2016-01-13 05:00:00,50,0,nan,44.2,nan,43.98125
2016-01-13 05:10:00,50,0,18.89,44.2,18.29,nan
2016-01-13 05:20:00,nan,nan,18.89,44.2,18.245,44.0
2016-01-13 05:30:00,nan,0,18.89,44.2,18.2,44.0
2016-01-13 05:40:00,nan,0,18.89,44.23,18.2,44.0
2016-01-13 05:50:00,20,0,18.89,44.29,18.2,44.0
2016-01-13 06:00:00,nan,nan,18.89,nan,18.2,44.0
2016-01-13 06:10:00,50,0,18.865,44.365,18.2,44.0
2016-01-13 06:20:00,30,10,nan,44.723333333333294,nan,44.0666666666667
2016-01-13 06:30:00,50,nan,18.89,45.03,18.2,44.29375
2016-01-13 06:40:00,50,10,18.89,45.09,18.1727272727273,44.4163636363636
2016-01-13 06:50:00,200,0,nan,nan,18.1818181818182,44.5409090909091
2016-01-13 07:00:00,110,10,18.89,nan,nan,44.59
2016-01-13 07:10:00,nan,10,nan,44.6333333333333,18.1,44.1966666666667
2016-01-13 07:20:00,50,0,18.79,44.5,nan,43.9666666666667
2016-01-13 07:30:00,nan,nan,18.79,44.59,nan,43.845
2016-01-13 07:40:00,50,nan,18.79,44.53,18.1,nan
2016-01-13 07:50:00,40,0,nan,44.363333333333294,18.1,43.79
2016-01-13 08:00:00,40,0,18.79,44.23,18.0,43.645
2016-01-13 08:10:00,30,0,18.79,44.06,nan,43.7
2016-01-13 08:20:00,180,20,nan,43.933333333333294,18.0,43.45
2016-01-13 08:30:00,350,30,nan,nan,18.0,43.363333333333294
2016-01-13 08:40:00,350,20,18.79,43.9,nan,43.363333333333294
2016-01-13 08:50:00,300,nan,18.79,nan,18.0,43.4
2016-01-13 09:00:00,400,nan,18.8566666666667,44.06,18.066666666666695,nan
2016-01-13 09:10:00,390,30,18.89,44.23,nan,43.59
2016-01-13 09:20:00,290,30,18.9975,44.3975,18.26,43.6633333333333
2016-01-13 09:30:00,60,30,19.1,44.5,18.323333333333295,43.5
2016-01-13 09:40:00,70,20,nan,44.5,18.463333333333296,43.5
2016-01-13 09:50:00,110,30,19.2,nan,18.533333333333296,43.43
2016-01-13 10:00:00,nan,20,nan,44.06,18.6,43.23
2016-01-13 10:10:00,60,20,19.2,44.06,18.6,43.1566666666667
2016-01-13 10:20:00,nan,nan,19.2,44.09,nan,43.43
2016-01-13 10:30:00,80,20,19.2,44.1633333333333,18.7,43.93
2016-01-13 10:40:00,60,0,19.23,44.39,18.76,43.863333333333294
2016-01-13 10:50:00,nan,10,19.29,44.7966666666667,18.79,44.0
2016-01-13 11:00:00,30,nan,19.29,45.1633333333333,18.79,44.0
2016-01-13 11:10:00,70,10,19.23,45.03,18.7,43.145
2016-01-13 11:20:00,nan,nan,19.29,45.7333333333333,nan,43.06
2016-01-13 11:30:00,80,nan,19.29,45.1266666666667,18.7,43.0
2016-01-13 11:40:00,80,10,nan,44.83333333333329,18.7,43.06
2016-01-13 11:50:00,50,0,19.2,nan,18.6333333333333,42.933333333333294
2016-01-13 12:00:00,40,0,19.2,44.9,18.6,42.83333333333329
2016-01-13 12:10:00,50,nan,nan,44.69333333333329,18.6,42.16666666666671
2016-01-13 12:20:00,40,0,19.2,43.6,18.5,41.79
2016-01-13 12:30:00,40,0,19.2,43.12,18.5,41.73
2016-01-13 12:40:00,nan,0,nan,42.7666666666667,18.5,41.6633333333333
2016-01-13 12:50:00,30,0,19.1666666666667,42.4666666666667,18.5,41.53
2016-01-13 13:00:00,30,0,19.1,42.2666666666667,nan,41.363333333333294
2016-01-13 13:10:00,20,0,19.1,nan,18.5,41.29
2016-01-13 13:20:00,20,nan,19.1,41.963333333333296,18.463333333333296,41.1633333333333
2016-01-13 13:30:00,50,nan,nan,41.76,nan,nan
2016-01-13 13:40:00,40,0,19.0,41.6266666666667,18.39,nan
2016-01-13 13:50:00,50,nan,nan,41.56,nan,nan
2016-01-13 14:00:00,40,0,19.0,41.433333333333294,18.39,40.7
2016-01-13 14:10:00,nan,0,19.0,41.29,18.39,40.6266666666667
2016-01-13 14:20:00,40,0,19.0,41.29,18.39,40.495
2016-01-13 14:30:00,nan,0,19.0,41.2,18.39,40.4
2016-01-13 14:40:00,nan,nan,nan,41.1266666666667,18.39,40.3266666666667
2016-01-13 14:50:00,40,0,nan,nan,nan,40.2
2016-01-13 15:00:00,40,0,19.1,41.1266666666667,18.5,nan
2016-01-13 15:10:00,30,0,19.1333333333333,41.0,18.5,40.06
2016-01-13 15:20:00,30,nan,nan,40.933333333333294,18.5,40.0
2016-01-13 15:30:00,nan,0,19.2,40.76,18.6333333333333,39.9
2016-01-13 15:40:00,40,0,nan,40.745,18.7,39.8266666666667
2016-01-13 15:50:00,80,0,nan,40.5666666666667,18.73,39.56
2016-01-13 16:00:00,70,0,19.39,40.53,18.79,nan
2016-01-13 16:10:00,80,0,19.39,40.59,18.79,nan
2016-01-13 16:20:00,70,0,nan,40.6266666666667,18.79,nan
2016-01-13 16:30:00,80,0,nan,40.7,18.79,39.7
2016-01-13 16:40:00,80,0,19.323333333333295,40.73,18.79,39.76
2016-01-13 16:50:00,100,0,19.39,40.863333333333294,18.7,nan
2016-01-13 17:00:00,90,0,19.3566666666667,40.79,nan,39.73
2016-01-13 17:10:00,nan,10,19.29,40.73,18.7,39.76
